L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
46.2543,31.3907,66.4844,0.0304386,1.35968,1.85986,83.1317,0.000537892,13.6453,6.86464,47.9126,0.00322954,0.828967,1.38109,7.08792,1.26251e-05,2.13522,1.27928,19.8346,2.6952
46.2543,31.3907,66.4843,0.0304292,1.36044,1.86046,83.1331,0.000537523,13.6453,6.86464,47.9125,0.00322013,0.829728,1.38169,7.08927,1.23819e-05,2.13515,1.27928,19.8288,2.69521
46.2543,31.3907,66.4862,0.0275337,1.37834,1.86215,83.1433,0.000517958,13.6453,6.86464,47.9144,0.000324582,0.847625,1.38338,7.09947,2.03962e-06,2.13442,1.27929,19.7655,2.69525
46.2543,31.3907,66.4867,0.0275884,1.38245,1.86269,83.1447,0.000518682,13.6453,6.86464,47.9149,0.000379266,0.851737,1.38392,7.10087,2.0827e-06,2.13427,1.27929,19.7527,2.69523
46.2543,31.3907,66.487,0.0275401,1.38581,1.86317,83.1459,0.000518896,13.6453,6.86464,47.9152,0.000331035,0.855102,1.3844,7.10208,1.95025e-06,2.13414,1.27929,19.742,2.69522
46.2543,31.3907,66.4872,0.0276423,1.38744,1.86305,83.1468,0.000519436,13.6453,6.86464,47.9153,0.000433213,0.856727,1.38428,7.10298,2.45837e-06,2.13408,1.27928,19.7369,2.69521
46.2543,31.3907,66.4875,0.0275802,1.39061,1.86327,83.1459,0.000519281,13.6453,6.86464,47.9156,0.000371074,0.859898,1.3845,7.10209,2.17963e-06,2.13402,1.27928,19.7316,2.6952
46.2543,31.3907,66.4874,0.0277063,1.38976,1.86313,83.1488,0.000520266,13.6453,6.86464,47.9156,0.000497226,0.859051,1.38435,7.10494,2.70613e-06,2.13398,1.27928,19.7277,2.69519
46.2543,31.3907,66.4876,0.0276973,1.39268,1.86346,83.1477,0.0005192,13.6453,6.86464,47.9158,0.000488217,0.861966,1.38469,7.10388,2.54664e-06,2.13392,1.27928,19.7231,2.69519
46.2543,31.3907,66.4877,0.0275346,1.39346,1.86365,83.1488,0.000518444,13.6453,6.86464,47.9158,0.000325468,0.862751,1.38488,7.10495,1.92716e-06,2.13387,1.27928,19.7188,2.69519
46.2543,31.3907,66.4876,0.0276519,1.3937,1.86354,83.1488,0.000519767,13.6453,6.86464,47.9158,0.000442769,0.862986,1.38477,7.10495,2.40771e-06,2.13387,1.27928,19.7185,2.69519
46.2543,31.3907,66.4877,0.0275126,1.39437,1.86373,83.1488,0.000518417,13.6453,6.86464,47.9159,0.000303492,0.863659,1.38496,7.10495,1.9481e-06,2.13385,1.27928,19.7167,2.69519
46.2543,31.3907,66.4877,0.02766,1.39427,1.86358,83.1488,0.000518713,13.6453,6.86464,47.9158,0.000450886,0.863555,1.38481,7.10495,2.24257e-06,2.13385,1.27928,19.7172,2.69519
46.2543,31.3907,66.4879,0.0277648,1.39555,1.86377,83.1486,0.000519495,13.6453,6.86464,47.916,0.000555735,0.86484,1.385,7.10478,2.80355e-06,2.13382,1.27928,19.7145,2.69518
46.2543,31.3907,66.4876,0.0276381,1.39366,1.86357,83.1488,0.000519213,13.6453,6.86464,47.9158,0.000428977,0.862946,1.3848,7.10495,2.32626e-06,2.13387,1.27928,19.7185,2.69519
46.2543,31.3907,66.4881,0.0276996,1.39854,1.86395,83.1502,0.000520193,13.6453,6.86464,47.9163,0.000490453,0.867827,1.38518,7.10635,2.42926e-06,2.13371,1.27927,19.7045,2.69517
46.2543,31.3907,66.488,0.0275326,1.39617,1.86377,83.1502,0.00051986,13.6453,6.86464,47.9161,0.000323519,0.86546,1.385,7.10634,2.06817e-06,2.13377,1.27928,19.7099,2.69518
46.2543,31.3907,66.488,0.027498,1.39749,1.86398,83.1488,0.000517673,13.6453,6.86464,47.9162,0.00028894,0.866775,1.38521,7.10496,1.85584e-06,2.13377,1.27928,19.7096,2.69518
46.2543,31.3907,66.488,0.0276432,1.3973,1.86408,83.1488,0.000518759,13.6453,6.86464,47.9161,0.000434128,0.866593,1.38531,7.10496,2.32961e-06,2.13377,1.27928,19.7097,2.69518
46.2543,31.3907,66.4879,0.0275584,1.3965,1.86381,83.1488,0.000519241,13.6453,6.86464,47.9161,0.000349332,0.865791,1.38504,7.10496,2.01824e-06,2.13379,1.27928,19.712,2.69518
46.2543,31.3907,66.4882,0.0277515,1.40045,1.86401,83.149,0.000519871,13.6453,6.86464,47.9164,0.000542345,0.869736,1.38524,7.10514,2.69441e-06,2.13369,1.27927,19.7029,2.69516
46.2543,31.3907,66.4884,0.0277216,1.40279,1.86391,83.1544,0.00051947,13.6453,6.86464,47.9166,0.000512477,0.872081,1.38514,7.11057,2.44622e-06,2.1335,1.27927,19.6868,2.69516
46.2543,31.3907,66.4885,0.0276856,1.40332,1.86403,83.1524,0.000518639,13.6453,6.86464,47.9167,0.000476457,0.872612,1.38526,7.10861,2.47e-06,2.13353,1.27927,19.6895,2.69515
46.2543,31.3907,66.4883,0.0276429,1.40162,1.86446,83.1502,0.000519221,13.6453,6.86464,47.9165,0.000433778,0.870906,1.38569,7.10635,2.25256e-06,2.13362,1.27927,19.6969,2.69516
