epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
22.0,71.4938,51.8701,70.1046,0.0682079,4.27364,5.00592,83.14,0.0024037,8.91144,6.73774,47.9072,0.000660745,3.05806,3.8748,7.09621,3.04762e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9072,0.000660745,1.2825,5.36021,1.15367,0.418975,0.2432,2.71067,7.09621,3.04762e-06,76.0265,1.9889,0.00516698,0.952902,13.1457,0.0157339,2.90167
23.0,71.4938,51.8701,70.1037,0.0681731,4.26898,4.99977,83.1353,0.00240366,8.91144,6.73774,47.9063,0.000625997,3.0534,3.86864,7.09149,3.02326e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9063,0.000625997,1.2825,5.35288,1.15367,0.415488,0.2432,2.71067,7.09149,3.02326e-06,76.0265,1.98923,0.00516701,0.952906,13.1602,0.0157341,2.90171
24.0,71.4938,51.8701,70.1037,0.068254,4.26567,4.99659,83.1365,0.00240373,8.91144,6.73774,47.9064,0.000706872,3.05009,3.86547,7.0927,3.07562e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9064,0.000706872,1.2825,5.34609,1.15367,0.415803,0.2432,2.71067,7.0927,3.07562e-06,76.0265,1.98934,0.005167,0.952906,13.1652,0.0157341,2.9017
25.0,71.4938,51.8701,70.1041,0.0682605,4.27102,5.00283,83.1405,0.00240374,8.91144,6.73774,47.9068,0.000713329,3.05544,3.87171,7.09671,3.08129e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9068,0.000713329,1.2825,5.35561,1.15367,0.417874,0.2432,2.71067,7.09671,3.08129e-06,76.0265,1.98901,0.00516699,0.952904,13.1505,0.015734,2.90168
26.0,71.4938,51.8701,70.104,0.0682292,4.27652,5.00842,83.1402,0.00240375,8.91144,6.73774,47.9067,0.000682043,3.06094,3.87729,7.09639,3.06499e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000682043,1.2825,5.3665,1.15367,0.418066,0.2432,2.71067,7.09639,3.06499e-06,76.0265,1.98878,0.005167,0.952904,13.1404,0.015734,2.90169
27.0,71.4938,51.8701,70.1043,0.0681639,4.272,5.00404,83.1426,0.00240365,8.91144,6.73774,47.907,0.000616766,3.05643,3.87292,7.09882,3.01402e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.907,0.000616766,1.2825,5.35727,1.15367,0.418401,0.2432,2.71067,7.09882,3.01402e-06,76.0265,1.98892,0.00516699,0.952903,13.1465,0.015734,2.90168
28.0,71.4938,51.8701,70.104,0.0683072,4.27086,5.00242,83.1381,0.00240378,8.91144,6.73774,47.9067,0.000760113,3.05528,3.8713,7.09428,3.11672e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000760113,1.2825,5.35561,1.15367,0.417298,0.2432,2.71067,7.09428,3.11672e-06,76.0265,1.98907,0.00516699,0.952904,13.1534,0.015734,2.90169
29.0,71.4938,51.8701,70.1042,0.0682412,4.26979,5.00164,83.139,0.00240375,8.91144,6.73774,47.9069,0.000694099,3.05421,3.87051,7.09514,3.07357e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9069,0.000694099,1.2825,5.3531,1.15367,0.417951,0.2432,2.71067,7.09514,3.07357e-06,76.0265,1.98909,0.00516699,0.952904,13.1543,0.015734,2.90168
30.0,71.4938,51.8701,70.1041,0.0682763,4.27335,5.00532,83.1377,0.00240377,8.91144,6.73774,47.9067,0.000729147,3.05777,3.87419,7.09393,3.09689e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000729147,1.2825,5.36005,1.15367,0.418242,0.2432,2.71067,7.09393,3.09689e-06,76.0265,1.98897,0.00516699,0.952904,13.1486,0.015734,2.90168
31.0,71.4938,51.8701,70.1034,0.068235,4.26893,4.99976,83.1373,0.00240374,8.91144,6.73774,47.9061,0.00068787,3.05335,3.86864,7.09353,3.06714e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9061,0.00068787,1.2825,5.35272,1.15367,0.415599,0.2432,2.71067,7.09353,3.06714e-06,76.0265,1.98919,0.00516701,0.952907,13.1584,0.0157342,2.90172
32.0,71.4938,51.8701,70.1046,0.0682698,4.27223,5.00493,83.1443,0.00240375,8.91144,6.73774,47.9072,0.000722664,3.05665,3.87381,7.10054,3.0874e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9072,0.000722664,1.2825,5.35684,1.15367,0.419955,0.2432,2.71067,7.10054,3.0874e-06,76.0265,1.98886,0.00516698,0.952902,13.1438,0.0157339,2.90166
33.0,71.4938,51.8701,70.1045,0.068208,4.26858,5.00055,83.1411,0.00240371,8.91144,6.73774,47.9071,0.000660867,3.053,3.86942,7.09725,3.04776e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9071,0.000660867,1.2825,5.35051,1.15367,0.418241,0.2432,2.71067,7.09725,3.04776e-06,76.0265,1.9891,0.00516698,0.952902,13.1545,0.0157339,2.90167
34.0,71.4938,51.8701,70.105,0.0681688,4.27088,5.00393,83.1431,0.00240367,8.91144,6.73774,47.9076,0.000621689,3.0553,3.8728,7.09933,3.01867e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9076,0.000621689,1.2825,5.35366,1.15367,0.420766,0.2432,2.71067,7.09933,3.01867e-06,76.0265,1.98893,0.00516697,0.9529,13.1472,0.0157338,2.90165
35.0,71.4938,51.8701,70.104,0.0682213,4.26975,5.0012,83.1367,0.00240374,8.91144,6.73774,47.9067,0.000674175,3.05417,3.87008,7.09289,3.05783e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000674175,1.2825,5.35356,1.15367,0.41702,0.2432,2.71067,7.09289,3.05783e-06,76.0265,1.98915,0.005167,0.952904,13.1568,0.015734,2.90169
36.0,71.4938,51.8701,70.1038,0.0682269,4.26657,4.9977,83.1359,0.00240372,8.91144,6.73774,47.9064,0.000679774,3.05099,3.86657,7.09213,3.05859e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9064,0.000679774,1.2825,5.3476,1.15367,0.416288,0.2432,2.71067,7.09213,3.05859e-06,76.0265,1.98931,0.005167,0.952906,13.1638,0.0157341,2.9017
37.0,71.4938,51.8701,70.1043,0.0682149,4.27221,5.00433,83.1421,0.0024037,8.91144,6.73774,47.907,0.000667795,3.05663,3.87321,7.09829,3.04806e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.907,0.000667795,1.2825,5.35757,1.15367,0.418595,0.2432,2.71067,7.09829,3.04806e-06,76.0265,1.98892,0.00516699,0.952903,13.1465,0.0157339,2.90168
38.0,71.4938,51.8701,70.1043,0.06823,4.27171,5.00365,83.1416,0.00240372,8.91144,6.73774,47.9069,0.000682877,3.05613,3.87253,7.09775,3.06209e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9069,0.000682877,1.2825,5.35681,1.15367,0.418181,0.2432,2.71067,7.09775,3.06209e-06,76.0265,1.98895,0.00516699,0.952903,13.1481,0.015734,2.90168
39.0,71.4938,51.8701,70.1044,0.068216,4.26865,5.00086,83.139,0.00240372,8.91144,6.73774,47.907,0.000668896,3.05307,3.86974,7.09514,3.05473e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.907,0.000668896,1.2825,5.35032,1.15367,0.418815,0.2432,2.71067,7.09514,3.05473e-06,76.0265,1.98914,0.00516699,0.952903,13.1561,0.0157339,2.90167
40.0,71.4938,51.8701,70.1034,0.0681273,4.26349,4.99428,83.1356,0.00240361,8.91144,6.73774,47.9061,0.000580127,3.04791,3.86316,7.09181,2.98793e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9061,0.000580127,1.2825,5.34189,1.15367,0.415505,0.2432,2.71067,7.09181,2.98793e-06,76.0265,1.98946,0.00516702,0.952908,13.1702,0.0157342,2.90172
41.0,71.4938,51.8701,70.1035,0.0682572,4.26874,4.99928,83.1377,0.00240373,8.91144,6.73774,47.9061,0.000710108,3.05316,3.86816,7.09391,3.07996e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9061,0.000710108,1.2825,5.35273,1.15367,0.414915,0.2432,2.71067,7.09391,3.07996e-06,76.0265,1.98919,0.00516701,0.952907,13.1586,0.0157341,2.90171
42.0,71.4938,51.8701,70.1043,0.0681011,4.27128,5.00318,83.141,0.00240357,8.91144,6.73774,47.9069,0.000553951,3.0557,3.87206,7.09721,2.96982e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9069,0.000553951,1.2825,5.35601,1.15367,0.418075,0.2432,2.71067,7.09721,2.96982e-06,76.0265,1.98899,0.00516699,0.952904,13.1495,0.015734,2.90168
43.0,71.4938,51.8701,70.1053,0.0681827,4.27664,5.01011,83.1468,0.00240369,8.91144,6.73774,47.908,0.000635526,3.06107,3.87898,7.10297,3.02744e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.908,0.000635526,1.2825,5.36465,1.15367,0.421727,0.2432,2.71067,7.10297,3.02744e-06,76.0265,1.9886,0.00516696,0.952898,13.1326,0.0157337,2.90163
44.0,71.4938,51.8701,70.104,0.0682975,4.26858,5.00049,83.1419,0.00240378,8.91144,6.73774,47.9066,0.000750402,3.053,3.86937,7.09807,3.11163e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9066,0.000750402,1.2825,5.3506,1.15367,0.4181,0.2432,2.71067,7.09807,3.11163e-06,76.0265,1.98908,0.005167,0.952904,13.1537,0.015734,2.90169
45.0,71.4938,51.8701,70.1037,0.0682087,4.26792,4.99884,83.1379,0.00240368,8.91144,6.73774,47.9064,0.000661521,3.05234,3.86772,7.09409,3.04693e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9064,0.000661521,1.2825,5.3506,1.15367,0.415788,0.2432,2.71067,7.09409,3.04693e-06,76.0265,1.98922,0.005167,0.952906,13.1596,0.0157341,2.90171
46.0,71.4938,51.8701,70.1042,0.0682426,4.27323,5.00512,83.1401,0.00240374,8.91144,6.73774,47.9069,0.000695476,3.05765,3.87399,7.09629,3.07219e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9069,0.000695476,1.2825,5.35991,1.15367,0.418059,0.2432,2.71067,7.09629,3.07219e-06,76.0265,1.98892,0.00516699,0.952904,13.1467,0.015734,2.90168
47.0,71.4938,51.8701,70.104,0.0681941,4.2666,4.99782,83.138,0.0024037,8.91144,6.73774,47.9066,0.000646955,3.05102,3.86669,7.0942,3.03679e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9066,0.000646955,1.2825,5.34756,1.15367,0.416484,0.2432,2.71067,7.0942,3.03679e-06,76.0265,1.98927,0.005167,0.952905,13.1617,0.015734,2.90169
48.0,71.4938,51.8701,70.1046,0.0682165,4.27458,5.00738,83.1427,0.00240371,8.91144,6.73774,47.9073,0.000669322,3.059,3.87625,7.0989,3.05396e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9073,0.000669322,1.2825,5.3614,1.15367,0.420182,0.2432,2.71067,7.0989,3.05396e-06,76.0265,1.98879,0.00516698,0.952902,13.1409,0.0157339,2.90166
49.0,71.4938,51.8701,70.1043,0.0681863,4.27349,5.0055,83.1401,0.00240366,8.91144,6.73774,47.907,0.000639175,3.05792,3.87438,7.09632,3.02784e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.907,0.000639175,1.2825,5.36029,1.15367,0.418325,0.2432,2.71067,7.09632,3.02784e-06,76.0265,1.98891,0.00516699,0.952903,13.1461,0.015734,2.90168
50.0,71.4938,51.8701,70.1041,0.0682217,4.27117,5.00286,83.1417,0.0024037,8.91144,6.73774,47.9067,0.000674571,3.05559,3.87174,7.09792,3.05497e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000674571,1.2825,5.35606,1.15367,0.417598,0.2432,2.71067,7.09792,3.05497e-06,76.0265,1.98898,0.00516699,0.952904,13.1492,0.015734,2.90169
51.0,71.4938,51.8701,70.1041,0.0681904,4.26894,5.00073,83.1405,0.00240366,8.91144,6.73774,47.9067,0.000643277,3.05336,3.8696,7.09671,3.02997e-06,4.96962,7.6742,3.00536,78.8078,73.7294,47.9067,0.000643277,1.2825,5.35147,1.15367,0.417821,0.2432,2.71067,7.09671,3.02997e-06,76.0265,1.9891,0.005167,0.952904,13.1545,0.015734,2.90169
