L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
76.6333,77.1472,56.8933,0.0650127,5.40558,19.3873,83.1495,0.00144504,30.274,44.568,34.6959,0.000109578,4.73074,18.7638,7.10567,1.34503e-07,1.70107,0.875118,6.0268,1.68363
76.7493,77.1472,56.8936,0.0650066,5.44347,19.3873,83.1507,0.00144504,30.39,44.568,34.6962,0.000103432,4.76864,18.7638,7.10689,1.26986e-07,1.70045,0.874636,6.01911,1.68184
76.6381,77.1472,56.8934,0.0650253,5.43447,19.3873,83.1497,0.00144509,30.2789,44.568,34.6961,0.00012215,4.75963,18.7638,7.10585,1.49878e-07,1.70062,0.875097,6.02108,1.68355
76.6459,77.1472,56.8936,0.0650346,5.45979,19.3873,83.154,0.0014451,30.2867,44.568,34.6963,0.000131476,4.78495,18.7638,7.11021,1.613e-07,1.70015,0.875064,6.01526,1.68343
76.799,77.1472,56.8937,0.0649818,5.47116,19.3873,83.1533,0.00144503,30.4398,44.568,34.6964,7.86761e-05,4.79633,18.7638,7.1095,9.66707e-08,1.69998,0.874429,6.01316,1.68108
76.7506,77.1472,56.8937,0.0650193,5.44918,19.3873,83.1542,0.00144506,30.3914,44.568,34.6963,0.000116112,4.77435,18.7638,7.11038,1.42494e-07,1.70031,0.87463,6.0173,1.68182
76.9126,77.1472,56.8939,0.0650393,5.49682,19.3873,83.1542,0.00144505,30.5534,44.568,34.6966,0.000136156,4.82198,18.7638,7.11039,1.6703e-07,1.69955,0.873957,6.00796,1.67934
77.0439,77.1472,56.8938,0.0650553,5.47958,19.3873,83.1542,0.00144513,30.6846,44.568,34.6964,0.000152194,4.80474,18.7638,7.11039,1.86592e-07,1.69982,0.873414,6.01134,1.67733
77.0419,77.1472,56.8942,0.0649836,5.51359,19.3873,83.1518,0.00144499,30.6827,44.568,34.6968,8.04299e-05,4.83875,18.7638,7.10797,9.87477e-08,1.69932,0.873421,6.00516,1.67736
76.9055,77.1472,56.894,0.0649849,5.50389,19.3873,83.1544,0.00144502,30.5463,44.568,34.6966,8.17405e-05,4.82905,18.7638,7.11057,1.00446e-07,1.69944,0.873986,6.00655,1.67944
76.9926,77.1472,56.8939,0.0650051,5.48694,19.3873,83.1542,0.00144505,30.6334,44.568,34.6966,0.000101971,4.8121,18.7638,7.11039,1.25242e-07,1.6997,0.873626,6.0099,1.67811
76.5754,77.1472,56.8938,0.0650513,5.47573,19.3873,83.1533,0.00144515,30.2162,44.568,34.6964,0.000148102,4.80089,18.7638,7.1095,1.81582e-07,1.69992,0.875356,6.01227,1.68451
76.9854,77.1472,56.8939,0.0650229,5.50645,19.3873,83.1535,0.00144506,30.6262,44.568,34.6966,0.000119745,4.83161,18.7638,7.10968,1.46945e-07,1.69941,0.873656,6.00622,1.67822
77.0798,77.1472,56.8942,0.0650396,5.53146,19.3873,83.156,0.00144506,30.7206,44.568,34.6968,0.000136457,4.85662,18.7638,7.11218,1.67353e-07,1.69897,0.873264,6.00084,1.67678
77.2563,77.1472,56.8943,0.0650083,5.55171,19.3873,83.156,0.00144505,30.897,44.568,34.697,0.000105174,4.87687,18.7638,7.11219,1.29042e-07,1.69865,0.872535,5.99689,1.67409
77.1601,77.1472,56.8943,0.0649901,5.54088,19.3873,83.1544,0.00144498,30.8009,44.568,34.6969,8.69561e-05,4.86604,18.7638,7.11058,1.06747e-07,1.69885,0.872932,5.99932,1.67555
76.9661,77.1472,56.8942,0.0650499,5.54497,19.3873,83.1562,0.00144513,30.6069,44.568,34.6969,0.000146778,4.87013,18.7638,7.11236,1.79966e-07,1.69877,0.873734,5.99817,1.67851
77.1596,77.1472,56.8944,0.0649922,5.56655,19.3873,83.1562,0.00144498,30.8003,44.568,34.6971,8.9056e-05,4.89172,18.7638,7.11236,1.09343e-07,1.69842,0.872934,5.99396,1.67556
77.2086,77.1472,56.8945,0.0650211,5.58437,19.3873,83.1562,0.00144503,30.8494,44.568,34.6972,0.000117957,4.90953,18.7638,7.11237,1.44758e-07,1.69814,0.87273,5.99049,1.67481
77.2207,77.1472,56.8944,0.0650214,5.56633,19.3873,83.1544,0.00144503,30.8614,44.568,34.6971,0.000118214,4.89149,18.7638,7.11058,1.45064e-07,1.69845,0.872681,5.99435,1.67463
77.4045,77.1472,56.8945,0.0650526,5.59105,19.3873,83.1564,0.0014451,31.0453,44.568,34.6972,0.000149455,4.91621,18.7638,7.11254,1.83285e-07,1.69802,0.871922,5.98916,1.67184
