L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
46.2543,31.3907,66.4776,0.0282838,1.27929,1.83997,83.1004,0.000523214,13.6453,6.86464,47.9058,0.00107467,0.748576,1.3612,7.05654,4.71749e-06,2.13848,1.27936,20.1194,2.69556
46.2543,31.3907,66.4774,0.0283388,1.27657,1.83887,83.0995,0.000523041,13.6453,6.86464,47.9056,0.00112965,0.745856,1.36009,7.05565,5.07317e-06,2.1386,1.27936,20.1298,2.69556
46.2543,31.3907,66.4786,0.0273494,1.29358,1.84146,83.1094,0.000516699,13.6453,6.86464,47.9068,0.000140317,0.762873,1.36269,7.06563,1.47931e-06,2.13786,1.27936,20.065,2.69556
46.2543,31.3907,66.4783,0.027284,1.29027,1.84016,83.1095,0.000516289,13.6453,6.86464,47.9065,7.49314e-05,0.759557,1.36139,7.06574,1.00188e-06,2.13798,1.27937,20.0749,2.69557
46.2543,31.3907,66.478,0.0272911,1.28631,1.83887,83.1067,0.000516354,13.6453,6.86464,47.9062,8.20208e-05,0.755599,1.3601,7.06288,1.19621e-06,2.13818,1.27937,20.0926,2.69558
46.2543,31.3907,66.4773,0.0272988,1.27482,1.83358,83.1084,0.000516514,13.6453,6.86464,47.9055,8.97219e-05,0.744111,1.35481,7.06459,1.24771e-06,2.13855,1.27937,20.1256,2.69561
46.2543,31.3907,66.4765,0.0272765,1.26042,1.82725,83.102,0.000516266,13.6453,6.86464,47.9046,6.73995e-05,0.729706,1.34848,7.05822,1.08574e-06,2.13922,1.27938,20.1853,2.69564
46.2543,31.3907,66.4756,0.0272742,1.24288,1.81837,83.0986,0.000516343,13.6453,6.86464,47.9037,6.50615e-05,0.712166,1.3396,7.0548,1.21288e-06,2.13996,1.27939,20.2515,2.69568
46.2543,31.3907,66.4749,0.0272702,1.22491,1.80785,83.096,0.000516111,13.6453,6.86464,47.9031,6.11051e-05,0.694197,1.32908,7.05218,1.12605e-06,2.14074,1.2794,20.3209,2.69571
46.2543,31.3907,66.4742,0.027251,1.20957,1.80024,83.0926,0.00051603,13.6453,6.86464,47.9024,4.18938e-05,0.678856,1.32147,7.04884,1.04364e-06,2.14139,1.2794,20.3799,2.69573
46.2543,31.3907,66.4739,0.0272506,1.20191,1.79513,83.0942,0.000515865,13.6453,6.86464,47.902,4.14624e-05,0.671198,1.31635,7.05037,9.45963e-07,2.14167,1.27941,20.4053,2.69575
46.2543,31.3907,66.4736,0.0272489,1.19345,1.79034,83.089,0.000515912,13.6453,6.86464,47.9017,3.97787e-05,0.662736,1.31157,7.04515,9.62353e-07,2.14213,1.27941,20.4471,2.69576
