epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
22.0,61.5099,48.2699,55.2084,0.133336,3.41903,3.51355,82.6651,0.0137287,2.93703,6.0954,33.011,0.0664619,2.03504,2.20716,6.62127,0.00738938,57.9583,5.77723,3.07003,78.6581,66.6226,33.011,0.0664619,1.2825,3.14392,1.08693,0.0113529,0.239527,3.00938,6.62127,0.00738938,76.0265,2.05211,0.00605615,1.11688,16.9647,0.0237474,4.37952
23.0,61.5099,48.2699,55.2083,0.117866,3.41921,3.51163,82.6654,0.0100996,2.93703,6.0954,33.011,0.0509925,2.03521,2.20525,6.62163,0.00478512,58.923,5.77723,3.07003,78.6581,66.6226,33.011,0.0509925,1.2825,3.14218,1.08693,0.0113529,0.239527,3.00938,6.62163,0.00478512,76.0265,2.05223,0.00605672,1.11699,16.971,0.0237561,4.38114
24.0,61.5099,48.2699,55.2084,0.129668,3.42227,3.51434,82.6654,0.011742,2.93703,6.0954,33.0111,0.0627944,2.03828,2.20796,6.62163,0.00619536,58.4823,5.77723,3.07003,78.6581,66.6226,33.0111,0.0627944,1.2825,3.14795,1.08693,0.0113529,0.239527,3.00938,6.62163,0.00619536,76.0265,2.05206,0.00605628,1.11691,16.9597,0.0237494,4.3799
25.0,61.5099,48.2699,55.2083,0.118718,3.41553,3.51165,82.6627,0.0108102,2.93703,6.0954,33.011,0.0518442,2.03154,2.20527,6.61884,0.0050959,57.004,5.77723,3.07003,78.6581,66.6226,33.011,0.0518442,1.2825,3.13852,1.08693,0.0113529,0.239527,3.00938,6.61884,0.0050959,76.0265,2.05236,0.00605668,1.11698,16.9805,0.0237556,4.38105
26.0,61.5099,48.2699,55.2084,0.123362,3.41992,3.51621,82.6663,0.0108091,2.93703,6.0954,33.0111,0.0564886,2.03592,2.20983,6.62252,0.00564543,57.7518,5.77723,3.07003,78.6581,66.6226,33.0111,0.0564886,1.2825,3.14747,1.08693,0.0113529,0.239527,3.00938,6.62252,0.00564543,76.0265,2.05207,0.00605651,1.11695,16.96,0.023753,4.38056
27.0,61.5099,48.2699,55.2084,0.132643,3.42074,3.51394,82.6651,0.0131672,2.93703,6.0954,33.0111,0.065769,2.03675,2.20756,6.62127,0.00663722,58.9754,5.77723,3.07003,78.6581,66.6226,33.0111,0.065769,1.2825,3.14602,1.08693,0.0113529,0.239527,3.00938,6.62127,0.00663722,76.0265,2.05208,0.00605617,1.11689,16.9626,0.0237477,4.37959
28.0,61.5099,48.2699,55.2084,0.131035,3.41633,3.51379,82.6627,0.0130068,2.93703,6.0954,33.011,0.0641608,2.03234,2.20741,6.61884,0.00673183,57.9946,5.77723,3.07003,78.6581,66.6226,33.011,0.0641608,1.2825,3.14146,1.08693,0.0113529,0.239527,3.00938,6.61884,0.00673183,76.0265,2.05224,0.00605623,1.1169,16.9734,0.0237487,4.37976
29.0,61.5099,48.2699,55.2085,0.130843,3.42503,3.5155,82.6665,0.0130443,2.93703,6.0954,33.0112,0.0639693,2.04104,2.20912,6.62266,0.00671066,58.594,5.77723,3.07003,78.6581,66.6226,33.0112,0.0639693,1.2825,3.15187,1.08693,0.0113529,0.239527,3.00938,6.62266,0.00671066,76.0265,2.05192,0.00605623,1.1169,16.9512,0.0237487,4.37977
30.0,61.5099,48.2699,55.2082,0.124547,3.41236,3.51267,82.6649,0.0131464,2.93703,6.0954,33.0108,0.0576736,2.02837,2.20629,6.62109,0.0062085,58.2101,5.77723,3.07003,78.6581,66.6226,33.0108,0.0576736,1.2825,3.13637,1.08693,0.0113529,0.239527,3.00938,6.62109,0.0062085,76.0265,2.0523,0.00605648,1.11694,16.9787,0.0237524,4.38046
31.0,61.5099,48.2699,55.2083,0.119977,3.41849,3.51392,82.6654,0.010936,2.93703,6.0954,33.011,0.0531026,2.03449,2.20754,6.62163,0.00517132,57.5606,5.77723,3.07003,78.6581,66.6226,33.011,0.0531026,1.2825,3.14374,1.08693,0.0113529,0.239527,3.00938,6.62163,0.00517132,76.0265,2.05217,0.00605664,1.11697,16.9679,0.0237549,4.38092
