L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5929,30.1374,66.4823,0.0268397,1.45406,1.43703,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717471,0.755076,12.0178,5.56796e-07,2.02727,1.36367,13.6706,2.95979
38.5929,30.1374,66.4823,0.0268397,1.4542,1.43714,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.71761,0.755188,12.0178,5.56796e-07,2.02727,1.36367,13.6704,2.95979
38.5929,30.1374,66.4823,0.0268397,1.45429,1.43721,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717696,0.755256,12.0178,5.56796e-07,2.02727,1.36366,13.6702,2.95979
38.5929,30.1374,66.4823,0.0268397,1.45426,1.43718,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717663,0.755226,12.0178,5.56796e-07,2.02727,1.36366,13.6703,2.95979
38.5929,30.1374,66.4823,0.0268397,1.45427,1.43718,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717674,0.755231,12.0178,5.56796e-07,2.02727,1.36366,13.6702,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45432,1.43723,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717728,0.755276,12.0178,5.56796e-07,2.02726,1.36366,13.6701,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45442,1.43732,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717832,0.755366,12.0178,5.56796e-07,2.02726,1.36366,13.6699,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45452,1.4374,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717933,0.75545,12.0178,5.56796e-07,2.02726,1.36366,13.6698,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45443,1.43733,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717838,0.755373,12.0178,5.56796e-07,2.02726,1.36366,13.6699,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45451,1.43739,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717917,0.75544,12.0178,5.56796e-07,2.02726,1.36366,13.6698,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45466,1.43751,88.0616,0.000448494,7.47833,6.92005,47.9106,0,0.718069,0.755558,12.0178,5.56796e-07,2.02725,1.36366,13.6695,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45464,1.4375,88.0616,0.000448494,7.47833,6.92005,47.9106,0,0.718044,0.755543,12.0178,5.56796e-07,2.02725,1.36366,13.6695,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45456,1.43744,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717965,0.755486,12.0178,5.56796e-07,2.02725,1.36366,13.6697,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45454,1.43743,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717946,0.755475,12.0178,5.56796e-07,2.02725,1.36366,13.6697,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45459,1.43747,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.718,0.755514,12.0178,5.56796e-07,2.02725,1.36366,13.6696,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45472,1.43758,88.0616,0.000448494,7.47833,6.92005,47.9106,0,0.718124,0.755623,12.0178,5.56796e-07,2.02725,1.36366,13.6694,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45461,1.43749,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.718022,0.755535,12.0178,5.56796e-07,2.02725,1.36366,13.6696,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45466,1.43753,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.718065,0.755577,12.0178,5.56796e-07,2.02725,1.36366,13.6695,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45453,1.43743,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717942,0.755481,12.0178,5.56796e-07,2.02725,1.36366,13.6697,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45447,1.43738,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717879,0.755428,12.0178,5.56796e-07,2.02726,1.36366,13.6698,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45457,1.43746,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717979,0.755507,12.0178,5.56796e-07,2.02725,1.36366,13.6696,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45448,1.43739,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717886,0.755432,12.0178,5.56796e-07,2.02726,1.36366,13.6698,2.95979
