"BTO 1, $V_{T,Min}$","BTO 1, $V_{T,Max}$","BTO 2, $V_{T,Min}$","BTO 2, $V_{T,Max}$","BTO 3, $V_{T,Min}$","BTO 3, $V_{T,Max}$","BTO 4, $V_{T,Min}$","BTO 4, $V_{T,Max}$",V_G
1.1930563348953506e-07,2.1222218223964954e-08,9.214987138169026e-08,2.9053533934630795e-08,6.771828228249587e-08,3.873897033818396e-08,7.653630563142708e-08,4.8217689875997363e-08,3.800000000000002
1.2511987667598436e-07,2.4044951874376308e-08,9.792602340286536e-08,3.234129055333603e-08,7.269129839701049e-08,4.252176050996985e-08,8.181763996563454e-08,5.2427782917291526e-08,3.900000000000002
1.3093411986243366e-07,2.7043874712255818e-08,1.0374026658931466e-07,3.580523635950942e-08,7.784050369899327e-08,4.648073986922389e-08,8.727516348731014e-08,5.6814065146053804e-08,4.000000000000002
1.3674836304888295e-07,3.021898673760348e-08,1.0955450977576392e-07,3.944537135315096e-08,8.316589818844419e-08,5.061590841594609e-08,9.290887619645389e-08,6.137653656228425e-08,4.100000000000001
1.4256260623533223e-07,3.35702879504193e-08,1.1536875296221325e-07,4.3261695534260664e-08,8.866748186536329e-08,5.4927266150136456e-08,9.869887160500482e-08,6.611519716598286e-08,4.200000000000001
1.4837684942178158e-07,3.7097778350703286e-08,1.2118299614866253e-07,4.7254208902838516e-08,9.434525472975055e-08,5.941481307179498e-08,1.0451311479145415e-07,7.103004695714962e-08,4.300000000000001
1.5419109260823085e-07,4.080145793845543e-08,1.2699723933511183e-07,5.142291145888454e-08,1.0015285672804043e-07,6.407854918092165e-08,1.1032735797790343e-07,7.612108593578453e-08,4.4
1.6000533579468012e-07,4.468132671367573e-08,1.3281148252156113e-07,5.576780320239872e-08,1.0596709991448973e-07,6.89184744775165e-08,1.161416011643527e-07,8.138831410188761e-08,4.5
1.6581957898112942e-07,4.87373846763642e-08,1.3862572570801038e-07,6.028888413338105e-08,1.1178134310093904e-07,7.39345889615795e-08,1.21955844350802e-07,8.683173145545885e-08,4.6
1.716338221675787e-07,5.296963182652082e-08,1.4443996889445965e-07,6.498615425183155e-08,1.1759558628738832e-07,7.912689263311067e-08,1.277700875372513e-07,9.245133799649825e-08,4.699999999999999
1.77448065354028e-07,5.73780681641456e-08,1.50254212080909e-07,6.985961355775021e-08,1.234098294738376e-07,8.449538549210998e-08,1.3358433072370058e-07,9.823336805756109e-08,4.799999999999999
1.8326230854047727e-07,6.196269368923855e-08,1.5606845526735827e-07,7.490926205113703e-08,1.292240726602869e-07,9.004006753857746e-08,1.3939857391014987e-07,1.0404761124401039e-07,4.899999999999999
