epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
22.0,38.5929,30.1374,66.484,0.0268397,1.47094,1.45152,88.4753,0.000448494,7.47833,6.92005,47.9121,0.0,0.734346,0.769564,12.4315,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9121,0.0,1.2825,1.08555,0.339823,0.0785402,0.186405,1.44887,12.4315,5.56796e-07,76.0265,2.0174,0.0073942,1.36365,13.234,0.0160487,2.95971
23.0,38.5929,30.1374,66.4835,0.0268397,1.4662,1.44739,88.3308,0.000448494,7.47833,6.92005,47.9116,0.0,0.729609,0.765435,12.287,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9116,0.0,1.2825,1.07678,0.339823,0.0784391,0.186405,1.44887,12.287,5.56796e-07,76.0265,2.02079,0.00739423,1.36365,13.3812,0.0160488,2.95974
24.0,38.5929,30.1374,66.4837,0.0268397,1.46806,1.44893,88.4683,0.000448494,7.47833,6.92005,47.9119,0.0,0.731466,0.766979,12.4245,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9119,0.0,1.2825,1.08013,0.339823,0.0784913,0.186405,1.44887,12.4245,5.56796e-07,76.0265,2.01768,0.00739421,1.36365,13.2459,0.0160487,2.95973
25.0,38.5929,30.1374,66.4834,0.0268397,1.46656,1.44762,88.4555,0.000448494,7.47833,6.92005,47.9116,0.0,0.729972,0.765668,12.4117,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9116,0.0,1.2825,1.07736,0.339823,0.0784602,0.186405,1.44887,12.4117,5.56796e-07,76.0265,2.01802,0.00739423,1.36365,13.2607,0.0160488,2.95974
26.0,38.5929,30.1374,66.4838,0.0268397,1.46958,1.4501,88.491,0.000448494,7.47833,6.92005,47.912,0.0,0.73299,0.768152,12.4472,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.912,0.0,1.2825,1.08277,0.339823,0.0785495,0.186405,1.44887,12.4472,5.56796e-07,76.0265,2.01712,0.00739421,1.36365,13.2217,0.0160487,2.95972
27.0,38.5929,30.1374,66.4832,0.0268397,1.46444,1.44593,88.3522,0.000448494,7.47833,6.92005,47.9114,0.0,0.727849,0.763979,12.3084,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9114,0.0,1.2825,1.07362,0.339823,0.0783882,0.186405,1.44887,12.3084,5.56796e-07,76.0265,2.02039,0.00739424,1.36366,13.3636,0.0160489,2.95975
28.0,38.5929,30.1374,66.483,0.0268397,1.46232,1.44412,88.2883,0.000448494,7.47833,6.92005,47.9112,0.0,0.725727,0.762166,12.2445,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9112,0.0,1.2825,1.06973,0.339823,0.0783369,0.186405,1.44887,12.2445,5.56796e-07,76.0265,2.02189,0.00739425,1.36366,13.4297,0.0160489,2.95976
29.0,38.5929,30.1374,66.483,0.0268397,1.46006,1.44205,88.2628,0.000448494,7.47833,6.92005,47.9111,0.0,0.723466,0.760095,12.2189,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9111,0.0,1.2825,1.06543,0.339823,0.0783044,0.186405,1.44887,12.2189,5.56796e-07,76.0265,2.02256,0.00739425,1.36366,13.459,0.0160489,2.95976
30.0,38.5929,30.1374,66.483,0.0268397,1.46205,1.44382,88.3591,0.000448494,7.47833,6.92005,47.9112,0.0,0.725459,0.761862,12.3153,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9112,0.0,1.2825,1.06916,0.339823,0.0783423,0.186405,1.44887,12.3153,5.56796e-07,76.0265,2.02034,0.00739425,1.36366,13.3613,0.0160489,2.95976
31.0,38.5929,30.1374,66.4828,0.0268397,1.46206,1.44392,88.2883,0.000448494,7.47833,6.92005,47.911,0.0,0.725469,0.761971,12.2445,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.911,0.0,1.2825,1.06929,0.339823,0.0783258,0.186405,1.44887,12.2445,5.56796e-07,76.0265,2.02191,0.00739426,1.36366,13.4301,0.0160489,2.95977
32.0,38.5929,30.1374,66.4828,0.0268397,1.46229,1.44409,88.2402,0.000448494,7.47833,6.92005,47.911,0.0,0.725695,0.762136,12.1964,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.911,0.0,1.2825,1.06967,0.339823,0.0783363,0.186405,1.44887,12.1964,5.56796e-07,76.0265,2.02296,0.00739426,1.36366,13.4769,0.0160489,2.95977
33.0,38.5929,30.1374,66.4827,0.0268397,1.45905,1.44145,88.2061,0.000448494,7.47833,6.92005,47.9108,0.0,0.722459,0.759502,12.1623,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9108,0.0,1.2825,1.0639,0.339823,0.0782357,0.186405,1.44887,12.1623,5.56796e-07,76.0265,2.02385,0.00739427,1.36366,13.5164,0.016049,2.95978
34.0,38.5929,30.1374,66.4826,0.0268397,1.45658,1.43918,88.1721,0.000448494,7.47833,6.92005,47.9107,0.0,0.719984,0.757228,12.1283,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9107,0.0,1.2825,1.05919,0.339823,0.0782025,0.186405,1.44887,12.1283,5.56796e-07,76.0265,2.02471,0.00739428,1.36366,13.5549,0.016049,2.95978
35.0,38.5929,30.1374,66.4828,0.0268397,1.45883,1.44118,88.2456,0.000448494,7.47833,6.92005,47.911,0.0,0.722237,0.759226,12.2018,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.911,0.0,1.2825,1.0634,0.339823,0.0782445,0.186405,1.44887,12.2018,5.56796e-07,76.0265,2.02299,0.00739426,1.36366,13.4779,0.016049,2.95977
36.0,38.5929,30.1374,66.4827,0.0268397,1.45921,1.44141,88.2288,0.000448494,7.47833,6.92005,47.9109,0.0,0.722614,0.759459,12.185,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9109,0.0,1.2825,1.06398,0.339823,0.0782683,0.186405,1.44887,12.185,5.56796e-07,76.0265,2.02334,0.00739427,1.36366,13.4938,0.016049,2.95977
37.0,38.5929,30.1374,66.483,0.0268397,1.461,1.44288,88.4198,0.000448494,7.47833,6.92005,47.9112,0.0,0.724403,0.760924,12.376,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9112,0.0,1.2825,1.06718,0.339823,0.0783225,0.186405,1.44887,12.376,5.56796e-07,76.0265,2.01904,0.00739425,1.36366,13.3047,0.0160489,2.95976
38.0,38.5929,30.1374,66.4828,0.0268397,1.46099,1.44297,88.2331,0.000448494,7.47833,6.92005,47.911,0.0,0.7244,0.761021,12.1893,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.911,0.0,1.2825,1.06729,0.339823,0.0783063,0.186405,1.44887,12.1893,5.56796e-07,76.0265,2.02317,0.00739426,1.36366,13.4863,0.016049,2.95977
39.0,38.5929,30.1374,66.4822,0.0268397,1.45366,1.43672,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717065,0.754767,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.05388,0.339823,0.0781254,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02729,0.00739429,1.36367,13.6714,0.0160491,2.9598
40.0,38.5929,30.1374,66.4822,0.0268397,1.45368,1.43674,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717086,0.754783,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.05392,0.339823,0.078126,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02729,0.00739429,1.36367,13.6714,0.0160491,2.9598
41.0,38.5929,30.1374,66.4823,0.0268397,1.45374,1.43677,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717145,0.754813,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.054,0.339823,0.0781309,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02729,0.00739429,1.36367,13.6713,0.0160491,2.9598
42.0,38.5929,30.1374,66.4823,0.0268397,1.45379,1.43681,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717197,0.754856,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.0541,0.339823,0.0781325,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02729,0.00739429,1.36367,13.6712,0.0160491,2.9598
43.0,38.5929,30.1374,66.4823,0.0268397,1.4537,1.43672,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717107,0.754772,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.05392,0.339823,0.0781314,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02729,0.00739429,1.36367,13.6713,0.0160491,2.9598
44.0,38.5929,30.1374,66.4823,0.0268397,1.45383,1.43684,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717241,0.754885,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.05417,0.339823,0.078135,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02728,0.00739429,1.36367,13.6711,0.0160491,2.9598
45.0,38.5929,30.1374,66.4823,0.0268397,1.45397,1.43695,88.0616,0.000448494,7.47833,6.92005,47.9105,0.0,0.717383,0.754999,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9105,0.0,1.2825,1.05442,0.339823,0.0781396,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02728,0.00739429,1.36367,13.6708,0.0160491,2.95979
46.0,38.5929,30.1374,66.4823,0.0268397,1.45393,1.43692,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717338,0.754964,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.05434,0.339823,0.078138,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02728,0.00739429,1.36367,13.6709,0.0160491,2.9598
47.0,38.5929,30.1374,66.4823,0.0268397,1.45391,1.4369,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717319,0.754947,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.05431,0.339823,0.0781377,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02728,0.00739429,1.36367,13.6709,0.0160491,2.9598
48.0,38.5929,30.1374,66.4823,0.0268397,1.45397,1.43694,88.0616,0.000448494,7.47833,6.92005,47.9105,0.0,0.717375,0.754989,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9105,0.0,1.2825,1.0544,0.339823,0.0781399,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02728,0.00739429,1.36367,13.6708,0.0160491,2.9598
49.0,38.5929,30.1374,66.4823,0.0268397,1.45396,1.43694,88.0616,0.000448494,7.47833,6.92005,47.9104,0.0,0.717366,0.754992,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9104,0.0,1.2825,1.0544,0.339823,0.078138,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02728,0.00739429,1.36367,13.6708,0.0160491,2.9598
50.0,38.5929,30.1374,66.4823,0.0268397,1.45415,1.4371,88.0616,0.000448494,7.47833,6.92005,47.9105,0.0,0.71756,0.755152,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9105,0.0,1.2825,1.05474,0.339823,0.0781437,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02727,0.00739429,1.36367,13.6705,0.0160491,2.95979
51.0,38.5929,30.1374,66.4823,0.0268397,1.45406,1.43703,88.0616,0.000448494,7.47833,6.92005,47.9105,0.0,0.717471,0.755076,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9105,0.0,1.2825,1.05458,0.339823,0.0781416,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02727,0.00739429,1.36367,13.6706,0.0160491,2.95979
52.0,38.5929,30.1374,66.4823,0.0268397,1.4542,1.43714,88.0616,0.000448494,7.47833,6.92005,47.9105,0.0,0.71761,0.755188,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9105,0.0,1.2825,1.05483,0.339823,0.078146,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02727,0.00739429,1.36367,13.6704,0.0160491,2.95979
53.0,38.5929,30.1374,66.4823,0.0268397,1.45429,1.43721,88.0616,0.000448494,7.47833,6.92005,47.9105,0.0,0.717696,0.755256,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9105,0.0,1.2825,1.05498,0.339823,0.0781491,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02727,0.00739429,1.36366,13.6702,0.0160491,2.95979
54.0,38.5929,30.1374,66.4823,0.0268397,1.45426,1.43718,88.0616,0.000448494,7.47833,6.92005,47.9105,0.0,0.717663,0.755226,12.0178,5.56796e-07,1.76642,11.4074,1.22456,66.3248,24.3172,47.9105,0.0,1.2825,1.05492,0.339823,0.0781486,0.186405,1.44887,12.0178,5.56796e-07,76.0265,2.02727,0.00739429,1.36366,13.6703,0.0160491,2.95979
