L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
71.4938,51.8701,70.1053,0.0681827,4.27664,5.01011,83.1468,0.00240369,8.91144,6.73774,47.908,0.000635526,3.06107,3.87898,7.10297,3.02744e-06,1.9886,0.952898,13.1326,2.90163
71.4938,51.8701,70.104,0.0682975,4.26858,5.00049,83.1419,0.00240378,8.91144,6.73774,47.9066,0.000750402,3.053,3.86937,7.09807,3.11163e-06,1.98908,0.952904,13.1537,2.90169
71.4938,51.8701,70.1037,0.0682087,4.26792,4.99884,83.1379,0.00240368,8.91144,6.73774,47.9064,0.000661521,3.05234,3.86772,7.09409,3.04693e-06,1.98922,0.952906,13.1596,2.90171
71.4938,51.8701,70.1042,0.0682426,4.27323,5.00512,83.1401,0.00240374,8.91144,6.73774,47.9069,0.000695476,3.05765,3.87399,7.09629,3.07219e-06,1.98892,0.952904,13.1467,2.90168
71.4938,51.8701,70.104,0.0681941,4.2666,4.99782,83.138,0.0024037,8.91144,6.73774,47.9066,0.000646955,3.05102,3.86669,7.0942,3.03679e-06,1.98927,0.952905,13.1617,2.90169
71.4938,51.8701,70.1046,0.0682165,4.27458,5.00738,83.1427,0.00240371,8.91144,6.73774,47.9073,0.000669322,3.059,3.87625,7.0989,3.05396e-06,1.98879,0.952902,13.1409,2.90166
71.4938,51.8701,70.1043,0.0681863,4.27349,5.0055,83.1401,0.00240366,8.91144,6.73774,47.907,0.000639175,3.05792,3.87438,7.09632,3.02784e-06,1.98891,0.952903,13.1461,2.90168
71.4938,51.8701,70.1041,0.0682217,4.27117,5.00286,83.1417,0.0024037,8.91144,6.73774,47.9067,0.000674571,3.05559,3.87174,7.09792,3.05497e-06,1.98898,0.952904,13.1492,2.90169
71.4938,51.8701,70.1041,0.0681904,4.26894,5.00073,83.1405,0.00240366,8.91144,6.73774,47.9067,0.000643277,3.05336,3.8696,7.09671,3.02997e-06,1.9891,0.952904,13.1545,2.90169
71.4938,51.8701,70.1039,0.0682283,4.26837,5.00013,83.1401,0.00240372,8.91144,6.73774,47.9066,0.000681169,3.05279,3.86901,7.09629,3.0588e-06,1.98913,0.952905,13.156,2.90169
71.4938,51.8701,70.1045,0.0682359,4.27274,5.00503,83.1424,0.00240374,8.91144,6.73774,47.9071,0.000688722,3.05716,3.87391,7.09857,3.06711e-06,1.98888,0.952902,13.1451,2.90167
71.4938,51.8701,70.1045,0.0682159,4.27121,5.00334,83.1403,0.00240371,8.91144,6.73774,47.9072,0.000668773,3.05563,3.87221,7.09653,3.0522e-06,1.989,0.952902,13.1501,2.90167
71.4938,51.8701,70.1044,0.0681487,4.27283,5.00515,83.1413,0.00240364,8.91144,6.73774,47.9071,0.000601567,3.05726,3.87402,7.09754,3.00322e-06,1.9889,0.952903,13.1459,2.90167
71.4938,51.8701,70.1041,0.06821,4.27496,5.00678,83.1391,0.00240371,8.91144,6.73774,47.9068,0.000662872,3.05938,3.87566,7.09532,3.04649e-06,1.98887,0.952904,13.1445,2.90169
71.4938,51.8701,70.1045,0.0682053,4.26956,5.00207,83.1424,0.00240372,8.91144,6.73774,47.9072,0.000658178,3.05398,3.87095,7.09861,3.04587e-06,1.98902,0.952902,13.1508,2.90167
71.4938,51.8701,70.1044,0.0682072,4.27351,5.00581,83.143,0.00240372,8.91144,6.73774,47.9071,0.000660095,3.05793,3.87469,7.09915,3.04962e-06,1.98884,0.952903,13.1431,2.90167
71.4938,51.8701,70.1045,0.0682446,4.27589,5.00843,83.1422,0.00240374,8.91144,6.73774,47.9072,0.000697478,3.06031,3.8773,7.09843,3.0726e-06,1.98875,0.952902,13.1391,2.90167
71.4938,51.8701,70.1041,0.0681024,4.2725,5.0045,83.1405,0.00240363,8.91144,6.73774,47.9068,0.000555276,3.05692,3.87338,7.09668,2.97408e-06,1.98894,0.952905,13.1476,2.90169
71.4938,51.8701,70.1036,0.0683017,4.27078,5.00149,83.1347,0.00240379,8.91144,6.73774,47.9062,0.00075454,3.05521,3.87037,7.09092,3.11448e-06,1.98917,0.952906,13.1575,2.90171
71.4938,51.8701,70.1046,0.0681522,4.27647,5.00959,83.1433,0.00240364,8.91144,6.73774,47.9072,0.000605102,3.06089,3.87846,7.09948,3.0059e-06,1.98869,0.952902,13.1365,2.90167
71.4938,51.8701,70.1039,0.0682254,4.2693,5.00061,83.1363,0.00240371,8.91144,6.73774,47.9065,0.000678241,3.05372,3.86948,7.09246,3.05819e-06,1.98918,0.952905,13.1582,2.9017
71.4938,51.8701,70.1039,0.0682042,4.274,5.00558,83.1391,0.00240372,8.91144,6.73774,47.9065,0.000657047,3.05842,3.87446,7.09525,3.04682e-06,1.98892,0.952905,13.1465,2.9017
71.4938,51.8701,70.1036,0.0682917,4.26588,4.99629,83.135,0.00240376,8.91144,6.73774,47.9062,0.000744531,3.0503,3.86517,7.09123,3.10414e-06,1.98938,0.952906,13.1667,2.90171
71.4938,51.8701,70.1033,0.0682198,4.27121,5.00131,83.1335,0.0024037,8.91144,6.73774,47.906,0.000672631,3.05563,3.87018,7.0897,3.05462e-06,1.98919,0.952908,13.1584,2.90172
71.4938,51.8701,70.1032,0.0681549,4.26801,4.99823,83.1352,0.00240367,8.91144,6.73774,47.9058,0.000607716,3.05243,3.8671,7.09141,3.01075e-06,1.98929,0.952909,13.1627,2.90173
71.4938,51.8701,70.1028,0.0681751,4.26204,4.99141,83.1321,0.00240368,8.91144,6.73774,47.9055,0.00062793,3.04646,3.86029,7.08826,3.02555e-06,1.98963,0.952911,13.1776,2.90175
71.4938,51.8701,70.1031,0.0682378,4.26511,4.99504,83.135,0.00240373,8.91144,6.73774,47.9058,0.000690688,3.04953,3.86391,7.09119,3.06777e-06,1.98942,0.952909,13.1686,2.90173
71.4938,51.8701,70.1035,0.0681676,4.26968,5.0003,83.1364,0.00240366,8.91144,6.73774,47.9062,0.000620442,3.05411,3.86917,7.09263,3.0162e-06,1.98918,0.952907,13.158,2.90171
71.4938,51.8701,70.1038,0.0681697,4.2704,5.0015,83.1359,0.00240366,8.91144,6.73774,47.9065,0.000622577,3.05482,3.87037,7.09214,3.01907e-06,1.98915,0.952906,13.1567,2.9017
71.4938,51.8701,70.1033,0.0681893,4.26871,4.99885,83.1371,0.00240368,8.91144,6.73774,47.906,0.00064221,3.05313,3.86772,7.09334,3.03085e-06,1.98922,0.952908,13.1596,2.90172
71.4938,51.8701,70.103,0.0682214,4.26645,4.99656,83.1366,0.00240369,8.91144,6.73774,47.9057,0.000674222,3.05087,3.86544,7.0928,3.05535e-06,1.98933,0.95291,13.1644,2.90174
71.4938,51.8701,70.1026,0.0682643,4.26311,4.99235,83.1317,0.00240376,8.91144,6.73774,47.9052,0.000717158,3.04753,3.86123,7.0879,3.08739e-06,1.98959,0.952911,13.1761,2.90175
71.4938,51.8701,70.1036,0.0682999,4.27357,5.0048,83.138,0.00240379,8.91144,6.73774,47.9063,0.000752801,3.05799,3.87368,7.09421,3.11215e-06,1.98897,0.952906,13.1487,2.9017
71.4938,51.8701,70.1034,0.0681921,4.26725,4.99773,83.1352,0.00240369,8.91144,6.73774,47.906,0.000644946,3.05167,3.86661,7.09141,3.0389e-06,1.98931,0.952908,13.1638,2.90172
71.4938,51.8701,70.1035,0.0682423,4.26648,4.99706,83.1363,0.00240374,8.91144,6.73774,47.9062,0.000695185,3.0509,3.86594,7.09245,3.07406e-06,1.98932,0.952907,13.1642,2.90171
71.4938,51.8701,70.1036,0.0680581,4.26978,5.00095,83.1408,0.00240356,8.91144,6.73774,47.9063,0.000510947,3.0542,3.86983,7.09703,2.94184e-06,1.98907,0.952907,13.1532,2.90172
71.4938,51.8701,70.1032,0.0681584,4.27002,5.00031,83.1355,0.00240367,8.91144,6.73774,47.9058,0.000611272,3.05444,3.86919,7.09173,3.01458e-06,1.98919,0.952909,13.1585,2.90173
71.4938,51.8701,70.1028,0.068177,4.26602,4.99549,83.1317,0.00240367,8.91144,6.73774,47.9055,0.000629902,3.05044,3.86436,7.0879,3.02706e-06,1.98946,0.952911,13.1704,2.90175
71.4938,51.8701,70.1035,0.0682473,4.26884,4.99967,83.138,0.00240372,8.91144,6.73774,47.9061,0.000700128,3.05326,3.86854,7.0942,3.07303e-06,1.98918,0.952907,13.1579,2.90172
71.4938,51.8701,70.104,0.0681849,4.27133,5.00253,83.1382,0.0024037,8.91144,6.73774,47.9066,0.00063778,3.05575,3.8714,7.09442,3.03099e-06,1.98906,0.952905,13.1527,2.90169
71.4938,51.8701,70.1032,0.0682303,4.27078,5.00106,83.1381,0.00240374,8.91144,6.73774,47.9058,0.000683194,3.0552,3.86994,7.09434,3.06092e-06,1.9891,0.952909,13.1546,2.90173
71.4938,51.8701,70.1032,0.0682619,4.27084,5.00102,83.135,0.00240375,8.91144,6.73774,47.9058,0.000714739,3.05526,3.8699,7.09123,3.08275e-06,1.98917,0.952909,13.1575,2.90173
71.4938,51.8701,70.1035,0.0682763,4.27027,5.00091,83.1368,0.00240374,8.91144,6.73774,47.9062,0.000729197,3.05469,3.86978,7.09298,3.09371e-06,1.98915,0.952907,13.1565,2.90171
71.4938,51.8701,70.1031,0.0681828,4.26966,4.99994,83.1342,0.00240371,8.91144,6.73774,47.9058,0.000635633,3.05408,3.86882,7.09034,3.03164e-06,1.98924,0.952909,13.1605,2.90173
71.4938,51.8701,70.1029,0.0681646,4.26808,4.998,83.1341,0.00240367,8.91144,6.73774,47.9056,0.000617496,3.0525,3.86688,7.09034,3.01565e-06,1.98931,0.95291,13.1638,2.90174
71.4938,51.8701,70.1032,0.0682203,4.26849,4.99882,83.135,0.00240374,8.91144,6.73774,47.9059,0.000673184,3.05292,3.8677,7.09124,3.05596e-06,1.98927,0.952908,13.1618,2.90173
71.4938,51.8701,70.1037,0.0681886,4.27432,5.00582,83.1389,0.0024037,8.91144,6.73774,47.9064,0.00064151,3.05874,3.8747,7.0951,3.03538e-06,1.98891,0.952906,13.1462,2.90171
71.4938,51.8701,70.1029,0.0682028,4.26743,4.99719,83.1316,0.00240371,8.91144,6.73774,47.9055,0.000655652,3.05185,3.86607,7.08776,3.04212e-06,1.9894,0.95291,13.1676,2.90174
71.4938,51.8701,70.103,0.068201,4.26622,4.99641,83.1342,0.00240371,8.91144,6.73774,47.9057,0.000653894,3.05064,3.86529,7.09034,3.04369e-06,1.98939,0.95291,13.1671,2.90174
71.4938,51.8701,70.104,0.0681916,4.27276,5.00415,83.1403,0.0024037,8.91144,6.73774,47.9066,0.000644511,3.05718,3.87303,7.09646,3.03619e-06,1.98895,0.952905,13.1479,2.90169
71.4938,51.8701,70.1037,0.0682094,4.26979,5.00078,83.1368,0.00240369,8.91144,6.73774,47.9064,0.000662279,3.05421,3.86966,7.09299,3.0467e-06,1.98916,0.952906,13.1571,2.9017
