L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
61.5099,48.2699,55.211,0.0733037,3.53204,3.53086,82.6861,0.00304321,2.93703,6.0954,33.0136,0.0064298,2.14804,2.22448,6.64233,0.000483941,2.04891,1.11727,16.7422,4.3855
61.5099,48.2699,55.211,0.0720791,3.53147,3.53135,82.6861,0.00284861,2.93703,6.0954,33.0136,0.0052052,2.14747,2.22497,6.64233,0.000381651,2.04891,1.11728,16.7425,4.38563
61.5099,48.2699,55.2111,0.0691137,3.53683,3.53206,82.6888,0.00246427,2.93703,6.0954,33.0137,0.00223984,2.15283,2.22568,6.64494,0.000151155,2.04872,1.1173,16.7297,4.38593
61.5099,48.2699,55.2111,0.0719675,3.53764,3.53156,82.687,0.00274473,2.93703,6.0954,33.0138,0.00509357,2.15364,2.22518,6.64323,0.000371276,2.04875,1.11728,16.7315,4.38563
61.5099,48.2699,55.211,0.0705294,3.53446,3.53145,82.686,0.00266519,2.93703,6.0954,33.0137,0.0036555,2.15047,2.22507,6.64216,0.000262461,2.04885,1.11729,16.7383,4.38579
61.5099,48.2699,55.211,0.0712186,3.53141,3.53049,82.6858,0.00273617,2.93703,6.0954,33.0137,0.00434471,2.14741,2.22411,6.64201,0.000316916,2.04894,1.11729,16.7445,4.38572
61.5099,48.2699,55.2112,0.0720596,3.54217,3.53173,82.691,0.0028702,2.93703,6.0954,33.0139,0.00518576,2.15818,2.22535,6.64723,0.000380265,2.04855,1.11728,16.7183,4.38561
61.5099,48.2699,55.2112,0.0676348,3.542,3.53171,82.6909,0.00223759,2.93703,6.0954,33.0139,0.000760866,2.158,2.22533,6.64705,3.33262e-05,2.04857,1.11731,16.7194,4.38607
61.5099,48.2699,55.2112,0.0676348,3.54199,3.53171,82.691,0.00223759,2.93703,6.0954,33.0139,0.000760866,2.158,2.22533,6.64723,3.33262e-05,2.04857,1.11731,16.7191,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54183,3.5317,82.6909,0.00223802,2.93703,6.0954,33.0139,0.000761257,2.15784,2.22532,6.64705,3.34714e-05,2.04857,1.11731,16.7196,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54214,3.53172,82.691,0.00223772,2.93703,6.0954,33.0139,0.000761649,2.15814,2.22534,6.64723,3.33955e-05,2.04856,1.11731,16.7189,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54216,3.53172,82.691,0.00223803,2.93703,6.0954,33.0139,0.000761649,2.15816,2.22534,6.64723,3.34963e-05,2.04856,1.11731,16.7188,4.38607
